"skill_name","analytics_skill_count","science_skill_count","engineering_skill_count","total_count"
"sql","127752","97835","142062","367649"
"python","76506","140012","137245","353763"
"aws","13020","33779","81578","128377"
"r","40362","72526","15211","128099"
"tableau","65893","35472","23519","124884"
"excel","92482","20886","9997","123365"
"azure","15759","27227","77054","120040"
"spark","7162","30991","69905","108058"
"power bi","54733","18532","23046","96311"
"java","7135","19449","45814","72398"
"hadoop","5845","19109","36762","61716"
"scala","2575","13272","37453","53300"
"snowflake","9372","7657","35821","52850"
"databricks","4610","10835","35353","50798"
"kafka","1658","4456","38890","45004"
"gcp","4728","11354","28550","44632"
"git","4136","15248","23944","43328"
"airflow","2929","5326","34279","42534"
"oracle","14629","6890","20203","41722"
"nosql","3229","9178","29000","41407"
"sas","18603","17967","4520","41090"
"sas","18603","17967","4520","41090"
"sql server","11838","4955","21108","37901"
"go","11357","9755","11878","32990"
"redshift","3650","3748","24807","32205"
"docker","1485","9776","20418","31679"
"pyspark","2156","8719","20279","31154"
"pandas","3668","18480","7732","29880"
"flow","11130","5892","12407","29429"
"word","19020","6209","3912","29141"
"tensorflow","1051","24261","2910","28222"
"powerpoint","20595","5803","1445","27843"
"sap","16498","4331","6801","27630"
"kubernetes","1100","6003","19831","26934"
"bigquery","4804","4275","13630","22709"
"linux","2706","6220","13628","22554"
"mysql","4232","4677","13455","22364"
"pytorch","673","19461","2199","22333"
"jira","7516","4164","9147","20827"
"looker","9387","4335","5639","19361"
"javascript","5959","5962","7183","19104"
"numpy","1965","13328","3458","18751"
"ssis","4618","1229","12370","18217"
"postgresql","2565","3152","12102","17819"
"scikit-learn","986","14880","1949","17815"
"c++","2191","9379","5306","16876"
"github","1960","5503","9294","16757"
"qlik","7854","4375","4348","16577"
"shell","1742","2334","12381","16457"
"mongodb","1440","3715","10619","15774"
"mongodb","1440","3715","10619","15774"
"jenkins","1073","2804","11807","15684"
"terraform","513","1060","13592","15165"
"c","4173","5584","3597","13354"
"c#","2170","3085","7806","13061"
"vba","9241","2284","947","12472"
"alteryx","6845","2507","2765","12117"
"cassandra","466","1849","9153","11468"
"matlab","2460","7864","1009","11333"
"keras","323","9455","969","10747"
"spss","5913","3896","466","10275"
"unix","1593","1962","6612","10167"
"confluence","3038","1957","4485","9480"
"windows","2863","2404","4099","9366"
"dax","5137","1043","2786","8966"
"ssrs","4093","819","4039","8951"
"jupyter","1304","5150","2418","8872"
"outlook","5721","1787","934","8442"
"matplotlib","1191","6483","758","8432"
"t-sql","2149","733","5503","8385"
"elasticsearch","554","2083","5569","8206"
"sharepoint","5697","1282","1212","8191"
"bash","775","1803","5036","7614"
"gitlab","725","1759","5092","7576"
"express","2708","1864","1959","6531"
"gdpr","2604","1290","2619","6513"
"dynamodb","290","610","5099","5999"
"html","2448","1624","1694","5766"
"powershell","917","477","4050","5444"
"cognos","3108","615","1578","5301"
"sheets","4278","631","386","5295"
"react","1161","1427","2595","5183"
"microstrategy","2609","984","1577","5170"
"ansible","338","509","4270","5117"
"visio","3563","614","891","5068"
"spring","912","1585","2470","4967"
"bitbucket","496","1071","2676","4243"
"db2","1313","527","2376","4216"
"splunk","1041","1203","1935","4179"
"mongo","401","575","3112","4088"
"plotly","613","3040","422","4075"
"redis","192","684","3049","3925"
"perl","787","1480","1582","3849"
"flask","305","1759","1779","3843"
"css","1441","1084","1254","3779"
"seaborn","515","2807","314","3636"
"spreadsheet","2799","580","195","3574"
"neo4j","307","1384","1802","3493"
"php","1123","775","1308","3206"
"angular","518","839","1750","3107"
"chef","881","663","1451","2995"
"ruby","460","817","1607","2884"
"ruby","460","817","1607","2884"
"aurora","232","396","2245","2873"
"django","275","1161","1408","2844"
"ms access","2320","341","159","2820"
"no-sql","220","596","1763","2579"
"golang","130","535","1826","2491"
"vue","1047","621","749","2417"
"crystal","1547","453","393","2393"
"julia","280","1707","367","2354"
"nltk","49","2094","130","2273"
"typescript","222","357","1613","2192"
"visual basic","1406","462","251","2119"
"slack","685","518","796","1999"
"yarn","101","310","1580","1991"
"atlassian","549","530","830","1909"
"node.js","219","390","1178","1787"
"opencv","61","1548","142","1751"
"phoenix","544","589","559","1692"
"graphql","119","206","1361","1686"
"selenium","464","300","866","1630"
"fastapi","53","675","879","1607"
"notion","561","498","545","1604"
"ibm cloud","191","518","883","1592"
"zoom","679","440","451","1570"
"assembly","769","366","398","1533"
"terminal","759","402","330","1491"
"unity","409","295","731","1435"
"vmware","324","166","896","1386"
"swift","578","385","393","1356"
"kotlin","91","247","987","1325"
"rust","116","375","822","1313"
"ggplot2","150","1059","72","1281"
"node","186","285","790","1261"
"unify","337","229","532","1098"
"puppet","81","99","817","997"
"jquery","295","370","324","989"
"mxnet","37","873","74","984"
"planner","573","220","179","972"
"svn","84","295","565","944"
"mariadb","161","151","621","933"
"firebase","550","131","243","924"
"firebase","550","131","243","924"
"watson","268","440","176","884"
"tidyverse","94","732","26","852"
"hugging face","18","769","42","829"
"theano","13","719","54","786"
"rshiny","138","529","94","761"
"asp.net","250","151","337","738"
"datarobot","70","489","128","687"
"groovy","100","74","491","665"
"dplyr","127","460","70","657"
"microsoft teams","398","117","133","648"
"smartsheet","490","61","70","621"
"ubuntu","63","159","347","569"
"couchbase","32","59","458","549"
"macos","228","130","185","543"
"redhat","61","94","384","539"
"trello","198","143","174","515"
"asana","277","109","112","498"
"centos","27","122","276","425"
"wire","198","64","124","386"
"vb.net","189","67","127","383"
"openstack","55","71","221","347"
"solidity","68","143","133","344"
"vue.js","31","60","224","315"
"colocation","37","21","248","306"
"react.js","25","63","218","306"
"sqlite","70","124","110","304"
"flutter","94","84","124","302"
"firestore","19","45","230","294"
"cobol","144","19","128","291"
"airtable","114","75","88","277"
"pulumi","8","21","245","274"
"symphony","80","117","75","272"
"ruby on rails","33","54","169","256"
"digitalocean","20","201","33","254"
"arch","85","99","64","248"
"fortran","40","171","35","246"
"npm","96","58","75","229"
"codecommit","12","61","141","214"
"dart","82","60","63","205"
"webex","121","31","51","203"
"clojure","12","47","136","195"
"twilio","61","66","66","193"
"apl","57","110","19","186"
"elixir","29","51","99","179"
"couchdb","7","19","150","176"
"sass","58","24","92","174"
"electron","46","101","27","174"
"unreal","29","81","63","173"
"haskell","6","40","122","168"
"monday.com","88","42","25","155"
"laravel","32","31","90","153"
"drupal","60","32","53","145"
"powerbi","66","32","27","125"
"clickup","55","17","51","123"
"lua","22","39","58","119"
"f#","5","6","107","118"
"heroku","22","22","72","116"
"debian","13","18","81","112"
"mlr","23","83","4","110"
"cordova","37","42","24","103"
"ringcentral","40","32","27","99"
"next.js","12","14","59","85"
"ovh","1","18","65","84"
"symfony","26","9","48","83"
"erlang","14","11","55","80"
"wsl","17","45","18","80"
"angular.js","2","12","64","78"
"asp.net core","14","12","48","74"
"workfront","67","2","4","73"
"wrike","53","9","6","68"
"delphi","26","12","29","67"
"qt","13","33","20","66"
"ionic","13","11","41","65"
"lisp","10","34","17","61"
"pascal","11","21","28","60"
"objective-c","18","10","30","58"
"svelte","15","9","23","47"
"nuix","20","12","7","39"
"blazor","6","10","19","35"
"powerbi","15","9","10","34"
"play framework","12","2","18","32"
"mattermost","7","1","15","23"
"xamarin","2","5","13","20"
"sqlserver","9","3","7","19"
"ocaml","3","6","6","15"
"linode","1","6","4","11"
"kali","5","1","5","11"
"shogun","4","2","4","10"
"chainer","2","7","1","10"
"nuxt.js","1","1","3","5"
