"skill_name","data_science_skill_count"
"python","140012"
"sql","97835"
"r","72526"
"tableau","35472"
"aws","33779"
"spark","30991"
"azure","27227"
"tensorflow","24261"
"excel","20886"
"pytorch","19461"
"java","19449"
"hadoop","19109"
"power bi","18532"
"pandas","18480"
"sas","17967"
"sas","17967"
"git","15248"
"scikit-learn","14880"
"numpy","13328"
"scala","13272"
"gcp","11354"
"databricks","10835"
"docker","9776"
"go","9755"
"keras","9455"
"c++","9379"
"nosql","9178"
"pyspark","8719"
"matlab","7864"
"snowflake","7657"
"oracle","6890"
"matplotlib","6483"
"linux","6220"
"word","6209"
"kubernetes","6003"
"javascript","5962"
"flow","5892"
"powerpoint","5803"
"c","5584"
"github","5503"
"airflow","5326"
"jupyter","5150"
"sql server","4955"
"mysql","4677"
"kafka","4456"
"qlik","4375"
"looker","4335"
"sap","4331"
"bigquery","4275"
"jira","4164"
"spss","3896"
"redshift","3748"
"mongodb","3715"
"mongodb","3715"
"postgresql","3152"
"c#","3085"
"plotly","3040"
"seaborn","2807"
"jenkins","2804"
"alteryx","2507"
"windows","2404"
"shell","2334"
"vba","2284"
"nltk","2094"
"elasticsearch","2083"
"unix","1962"
"confluence","1957"
"express","1864"
"cassandra","1849"
"bash","1803"
"outlook","1787"
"flask","1759"
"gitlab","1759"
"julia","1707"
"html","1624"
"spring","1585"
"opencv","1548"
"perl","1480"
"react","1427"
"neo4j","1384"
"gdpr","1290"
"sharepoint","1282"
"ssis","1229"
"splunk","1203"
"django","1161"
"css","1084"
"bitbucket","1071"
"terraform","1060"
"ggplot2","1059"
"dax","1043"
"microstrategy","984"
"mxnet","873"
"angular","839"
"ssrs","819"
"ruby","817"
"ruby","817"
"php","775"
"hugging face","769"
"t-sql","733"
"tidyverse","732"
"theano","719"
"redis","684"
"fastapi","675"
"chef","663"
"sheets","631"
"vue","621"
"cognos","615"
"visio","614"
"dynamodb","610"
"no-sql","596"
"phoenix","589"
"spreadsheet","580"
"mongo","575"
"golang","535"
"atlassian","530"
"rshiny","529"
"db2","527"
"ibm cloud","518"
"slack","518"
"ansible","509"
"notion","498"
"datarobot","489"
"powershell","477"
"visual basic","462"
"dplyr","460"
"crystal","453"
"watson","440"
"zoom","440"
"terminal","402"
"aurora","396"
"node.js","390"
"swift","385"
"rust","375"
"jquery","370"
"assembly","366"
"typescript","357"
"ms access","341"
"yarn","310"
"selenium","300"
"svn","295"
"unity","295"
"node","285"
"kotlin","247"
"unify","229"
"planner","220"
"graphql","206"
"digitalocean","201"
"fortran","171"
"vmware","166"
"ubuntu","159"
"asp.net","151"
"mariadb","151"
"solidity","143"
"trello","143"
"firebase","131"
"firebase","131"
"macos","130"
"sqlite","124"
"centos","122"
"symphony","117"
"microsoft teams","117"
"apl","110"
"asana","109"
"electron","101"
"puppet","99"
"arch","99"
"redhat","94"
"flutter","84"
"mlr","83"
"unreal","81"
"airtable","75"
"groovy","74"
"openstack","71"
"vb.net","67"
"twilio","66"
"wire","64"
"react.js","63"
"codecommit","61"
"smartsheet","61"
"dart","60"
"vue.js","60"
"couchbase","59"
"npm","58"
"ruby on rails","54"
"elixir","51"
"tidyr","51"
"clojure","47"
"wsl","45"
"firestore","45"
"monday.com","42"
"cordova","42"
"haskell","40"
"lua","39"
"lisp","34"
"qt","33"
"drupal","32"
"powerbi","32"
"ringcentral","32"
"webex","31"
"laravel","31"
"sass","24"
"heroku","22"
"fedora","22"
"colocation","21"
"pulumi","21"
"dlib","21"
"pascal","21"
"cobol","19"
"couchdb","19"
"ovh","18"
"debian","18"
"clickup","17"
"next.js","14"
"angular.js","12"
"delphi","12"
"nuix","12"
"asp.net core","12"
"ionic","11"
"erlang","11"
"blazor","10"
"objective-c","10"
"mlpack","10"
"powerbi","9"
"svelte","9"
"wrike","9"
"symfony","9"
"homebrew","8"
"chainer","7"
"linode","6"
"ocaml","6"
"f#","6"
"xamarin","5"
"huggingface","4"
"fastify","3"
"sqlserver","3"
"shogun","2"
"esquisse","2"
"workfront","2"
"play framework","2"
"nuxt.js","1"
"wimi","1"
"kali","1"
"mattermost","1"
