salary_year_avg,count
157500.0,11
170000.0,9
160000.0,7
115000.0,6
175000.0,5
91800.0,3
252844.0,2
200000.0,2
165000.0,2
154000.0,2
135000.0,2
130000.0,2
125000.0,2
116600.0,2
114000.0,2
110000.0,2
375000.0,1
349500.0,1
327330.0,1
315000.0,1
215000.0,1
210000.0,1
205000.0,1
204000.0,1
197000.0,1
196800.0,1
190000.0,1
189000.0,1
184844.5,1
178458.0,1
177500.0,1
173000.0,1
167500.0,1
162500.0,1
156000.0,1
155000.0,1
152650.0,1
152500.0,1
146000.0,1
141000.0,1
140000.0,1
134000.0,1
131900.0,1
126000.0,1
125250.0,1
123000.0,1
121840.0,1
120000.0,1
112450.0,1
79200.0,1
57500.0,1
